# mass number (A) = 40
# number of protons (Z) = 18
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
4.74	4.02094088976e-31	7.38938507213e-32	4.75987939697e-31
4.76	2.01436028361e-31	3.67448117555e-32	2.38180840116e-31
4.78	1.00601217493e-31	1.82156553096e-32	1.18816872802e-31
4.8	5.00871371197e-32	9.00232883482e-33	5.90894659545e-32
4.82	2.48602976792e-32	4.43533572088e-33	2.92956334001e-32
4.84	1.23010968642e-32	2.17851184252e-33	1.44796087067e-32
4.86	6.06790820668e-33	1.06673218725e-33	7.13464039393e-33
4.88	2.98395360236e-33	5.20730678289e-34	3.50468428065e-33
4.9	1.4628617226e-33	2.5341566631e-34	1.71627738891e-33
4.92	7.14945401943e-34	1.22946599831e-34	8.37892001774e-34
4.94	3.48338206287e-34	5.94651593589e-35	4.07803365646e-34
4.96	1.69195269617e-34	2.86729174716e-35	1.97868187088e-34
4.98	8.19283919986e-35	1.37830281769e-35	9.57114201755e-35
5.0	3.95494081133e-35	6.60512575876e-36	4.61545338721e-35
#normalisation = 40.0
