# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 cluster 	 pieper 	 GFMC
5.26 	-0.000725424 	-0.000730779 	-0.000984517
5.28 	-0.000710253 	-0.000717204 	-0.000963163
5.3 	-0.000695334 	-0.000703757 	-0.000941953
5.32 	-0.000680664 	-0.000690417 	-0.000920922
5.34 	-0.00066624 	-0.000677169 	-0.000900103
5.36 	-0.000652058 	-0.000663996 	-0.000879531
5.38 	-0.000638116 	-0.000650887 	-0.000859237
5.4 	-0.000624408 	-0.000637829 	-0.000839253
5.42 	-0.000610934 	-0.000624813 	-0.00081961
5.44 	-0.000597688 	-0.000611831 	-0.000800336
5.46 	-0.000584669 	-0.000598878 	-0.00078146
5.48 	-0.000571872 	-0.000585949 	-0.000763006
5.5 	-0.000559296 	-0.000573042 	-0.000745
5.52 	-0.000546937 	-0.000560155 	-0.000727464
5.54 	-0.000534791 	-0.00054729 	-0.000710419
5.56 	-0.000522857 	-0.000534447 	-0.000693885
5.58 	-0.000511131 	-0.00052163 	-0.000677877
5.6 	-0.000499611 	-0.000508844 	-0.000662411
5.62 	-0.000488294 	-0.000496095 	-0.000647501
5.64 	-0.000477176 	-0.000483388 	-0.000633156
5.66 	-0.000466257 	-0.000470731 	-0.000619387
5.68 	-0.000455532 	-0.000458134 	-0.000606199
5.7 	-0.000444999 	-0.000445605 	-0.000593598
5.72 	-0.000434656 	-0.000433155 	-0.000581587
5.74 	-0.000424501 	-0.000420793 	-0.000570165
5.76 	-0.00041453 	-0.000408531 	-0.000559331
5.78 	-0.000404742 	-0.00039638 	-0.000549082
5.8 	-0.000395134 	-0.000384352 	-0.000539413
5.82 	-0.000385704 	-0.000372459 	-0.000530316
5.84 	-0.00037645 	-0.000360712 	-0.000521783
5.86 	-0.000367369 	-0.000349123 	-0.000513801
5.88 	-0.000358459 	-0.000337703 	-0.00050636
5.9 	-0.000349718 	-0.000326466 	-0.000499444
5.92 	-0.000341143 	-0.00031542 	-0.000493038
5.94 	-0.000332734 	-0.000304578 	-0.000487125
5.96 	-0.000324486 	-0.00029395 	-0.000481687
5.98 	-0.0003164 	-0.000283545 	-0.000476703
6 	-0.000308472 	-0.000273374 	-0.000472154
6.02 	-0.0003007 	-0.000263444 	-0.000468017
6.04 	-0.000293083 	-0.000253764 	-0.00046427
6.06 	-0.000285618 	-0.000244341 	-0.000460888
6.08 	-0.000278303 	-0.000235182 	-0.000457849
6.1 	-0.000271137 	-0.000226292 	-0.000455128
6.12 	-0.000264118 	-0.000217676 	-0.000452699
6.14 	-0.000257243 	-0.000209339 	-0.000450536
6.16 	-0.000250511 	-0.000201283 	-0.000448614
6.18 	-0.00024392 	-0.000193511 	-0.000446908
6.2 	-0.000237468 	-0.000186024 	-0.000445391
6.22 	-0.000231153 	-0.000178823 	-0.000444038
6.24 	-0.000224973 	-0.000171908 	-0.000442823
6.26 	-0.000218926 	-0.000165276 	-0.000441722
6.28 	-0.000213011 	-0.000158927 	-0.000440709
6.3 	-0.000207226 	-0.000152856 	-0.00043976
6.32 	-0.000201569 	-0.000147062 	-0.000438852
6.34 	-0.000196038 	-0.000141537 	-0.000437962
6.36 	-0.000190631 	-0.000136279 	-0.000437068
6.38 	-0.000185347 	-0.000131279 	-0.000436148
6.4 	-0.000180183 	-0.000126533 	-0.000435183
6.42 	-0.000175139 	-0.000122031 	-0.000434152
6.44 	-0.000170211 	-0.000117768 	-0.000433039
6.46 	-0.000165399 	-0.000113733 	-0.000431826
6.48 	-0.000160701 	-0.000109918 	-0.000430496
6.5 	-0.000156115 	-0.000106313 	-0.000429036
6.52 	-0.000151638 	-0.000102909 	-0.000427432
6.54 	-0.000147271 	-9.96962e-05 	-0.000425671
6.56 	-0.00014301 	-9.66631e-05 	-0.000423744
6.58 	-0.000138854 	-9.37995e-05 	-0.00042164
6.6 	-0.000134802 	-9.10946e-05 	-0.000419351
6.62 	-0.000130851 	-8.85375e-05 	-0.00041687
6.64 	-0.000127001 	-8.61172e-05 	-0.000414193
6.66 	-0.000123248 	-8.38228e-05 	-0.000411315
6.68 	-0.000119593 	-8.16433e-05 	-0.000408233
6.7 	-0.000116032 	-7.9568e-05 	-0.000404945
6.72 	-0.000112565 	-7.75862e-05 	-0.000401453
6.74 	-0.000109189 	-7.56874e-05 	-0.000397755
6.76 	-0.000105904 	-7.38616e-05 	-0.000393856
6.78 	-0.000102707 	-7.20988e-05 	-0.000389758
6.8 	-9.95975e-05 	-7.03895e-05 	-0.000385466
6.82 	-9.6573e-05 	-6.87245e-05 	-0.000380985
6.84 	-9.36323e-05 	-6.70951e-05 	-0.000376323
6.86 	-9.07739e-05 	-6.54929e-05 	-0.000371487
6.88 	-8.79961e-05 	-6.39102e-05 	-0.000366486
6.9 	-8.52975e-05 	-6.23396e-05 	-0.00036133
6.92 	-8.26765e-05 	-6.07742e-05 	-0.000356028
6.94 	-8.01316e-05 	-5.9208e-05 	-0.000350592
6.96 	-7.76613e-05 	-5.76351e-05 	-0.000345033
6.98 	-7.52642e-05 	-5.60504e-05 	-0.000339365
7 	-7.29387e-05 	-5.44493e-05 	-0.000333599
7.02 	-7.06835e-05 	-5.2828e-05 	-0.000327749
7.04 	-6.8497e-05 	-5.11831e-05 	-0.000321829
7.06 	-6.63779e-05 	-4.95117e-05 	-0.000315853
7.08 	-6.43247e-05 	-4.78116e-05 	-0.000309834
7.1 	-6.2336e-05 	-4.60814e-05 	-0.000303788
7.12 	-6.04104e-05 	-4.43198e-05 	-0.000297729
7.14 	-5.85466e-05 	-4.25264e-05 	-0.00029167
7.16 	-5.67433e-05 	-4.07012e-05 	-0.000285628
7.18 	-5.4999e-05 	-3.88448e-05 	-0.000279615
7.2 	-5.33125e-05 	-3.69582e-05 	-0.000273646
7.22 	-5.16824e-05 	-3.50429e-05 	-0.000267734
7.24 	-5.01074e-05 	-3.31009e-05 	-0.000261894
7.26 	-4.85863e-05 	-3.11346e-05 	-0.000256138
7.28 	-4.71178e-05 	-2.91468e-05 	-0.000250478
7.3 	-4.57007e-05 	-2.71405e-05 	-0.000244927
7.32 	-4.43336e-05 	-2.51193e-05 	-0.000239497
7.34 	-4.30155e-05 	-2.30868e-05 	-0.000234198
7.36 	-4.1745e-05 	-2.10471e-05 	-0.000229041
7.38 	-4.0521e-05 	-1.90044e-05 	-0.000224035
7.4 	-3.93424e-05 	-1.69632e-05 	-0.00021919
7.42 	-3.82079e-05 	-1.49279e-05 	-0.000214513
7.44 	-3.71164e-05 	-1.29032e-05 	-0.000210012
7.46 	-3.60668e-05 	-1.0894e-05 	-0.000205693
7.48 	-3.5058e-05 	-8.90503e-06 	-0.000201563
7.5 	-3.40889e-05 	-6.94108e-06 	-0.000197625
7.52 	-3.31585e-05 	-5.00697e-06 	-0.000193885
7.54 	-3.22655e-05 	-3.10742e-06 	-0.000190346
7.56 	-3.14091e-05 	-1.2471e-06 	-0.000187009
7.58 	-3.05882e-05 	5.69466e-07 	-0.000183876
7.6 	-2.98017e-05 	2.3379e-06 	-0.000180949
7.62 	-2.90487e-05 	4.054e-06 	-0.000178227
7.64 	-2.83282e-05 	5.71375e-06 	-0.000175708
7.66 	-2.76392e-05 	7.31337e-06 	-0.000173391
