# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
4.02 	-0.00669897 	0 		-2.16761e-06 	-4.88627e-10
4.04 	-0.00656632 	0 		-1.93316e-06 	-3.69657e-10
4.06 	-0.0064363 	0 		-1.72309e-06 	-2.79095e-10
4.08 	-0.00630885 	0 		-1.53498e-06 	-2.10299e-10
4.1 	-0.00618393 	0 		-1.36662e-06 	-1.58144e-10
4.12 	-0.00606148 	0 		-1.21604e-06 	-1.18686e-10
4.14 	-0.00594145 	0 		-1.08144e-06 	-8.88956e-11
4.16 	-0.0058238 	0 		-9.61191e-07 	-6.64493e-11
4.18 	-0.00570849 	0 		-8.53827e-07 	-4.95715e-11
4.2 	-0.00559545 	0 		-7.58025e-07 	-3.69067e-11
4.22 	-0.00548465 	0 		-6.7259e-07 	-2.74226e-11
4.24 	-0.00537605 	0 		-5.96445e-07 	-2.0335e-11
4.26 	-0.0052696 	0 		-5.2862e-07 	-1.50491e-11
4.28 	-0.00516525 	0 		-4.68242e-07 	-1.1115e-11
4.3 	-0.00506297 	0 		-4.14525e-07 	-8.19293e-12
4.32 	-0.00496272 	0 		-3.66761e-07 	-6.02699e-12
4.34 	-0.00486445 	0 		-3.24317e-07 	-4.42479e-12
4.36 	-0.00476813 	0 		-2.86622e-07 	-3.24202e-12
4.38 	-0.00467371 	0 		-2.53165e-07 	-2.37067e-12
4.4 	-0.00458117 	0 		-2.23485e-07 	-1.73004e-12
4.42 	-0.00449045 	0 		-1.97174e-07 	-1.26001e-12
4.44 	-0.00440154 	0 		-1.73861e-07 	-9.15849e-13
4.46 	-0.00431438 	0 		-1.53217e-07 	-6.64361e-13
4.48 	-0.00422895 	0 		-1.34948e-07 	-4.80968e-13
4.5 	-0.00414521 	0 		-1.1879e-07 	-3.47503e-13
4.52 	-0.00406313 	0 		-1.04507e-07 	-2.50572e-13
4.54 	-0.00398267 	0 		-9.18895e-08 	-1.80318e-13
4.56 	-0.00390381 	0 		-8.07493e-08 	-1.29502e-13
4.58 	-0.00382651 	0 		-7.09193e-08 	-9.28206e-14
4.6 	-0.00375074 	0 		-6.22506e-08 	-6.63963e-14
4.62 	-0.00367647 	0 		-5.46105e-08 	-4.73996e-14
4.64 	-0.00360367 	0 		-4.78809e-08 	-3.37705e-14
4.66 	-0.00353232 	0 		-4.19567e-08 	-2.40122e-14
4.68 	-0.00346237 	0 		-3.67446e-08 	-1.70395e-14
4.7 	-0.00339381 	0 		-3.21617e-08 	-1.20674e-14
4.72 	-0.00332661 	0 		-2.81344e-08 	-8.52905e-15
4.74 	-0.00326074 	0 		-2.45975e-08 	-6.01616e-15
4.76 	-0.00319617 	0 		-2.14929e-08 	-4.23516e-15
4.78 	-0.00313288 	0 		-1.87696e-08 	-2.97544e-15
4.8 	-0.00307085 	0 		-1.6382e-08 	-2.08624e-15
4.82 	-0.00301004 	0 		-1.429e-08 	-1.45985e-15
4.84 	-0.00295044 	0 		-1.24581e-08 	-1.0195e-15
4.86 	-0.00289202 	0 		-1.08548e-08 	-7.10546e-16
4.88 	-0.00283475 	0 		-9.45253e-09 	-4.94232e-16
4.9 	-0.00277862 	0 		-8.22672e-09 	-3.43084e-16
4.92 	-0.0027236 	0 		-7.15581e-09 	-2.37685e-16
4.94 	-0.00266967 	0 		-6.22076e-09 	-1.64337e-16
4.96 	-0.0026168 	0 		-5.40483e-09 	-1.13396e-16
4.98 	-0.00256499 	0 		-4.69325e-09 	-7.80896e-17
5 	-0.0025142 	0 		-4.07304e-09 	-5.36686e-17
5.02 	-0.00246441 	0 		-3.53278e-09 	-3.6811e-17
5.04 	-0.00241561 	0 		-3.06245e-09 	-2.51981e-17
5.06 	-0.00236778 	0 		-2.65322e-09 	-1.72142e-17
5.08 	-0.0023209 	0 		-2.29737e-09 	-1.17365e-17
5.1 	-0.00227494 	0 		-1.98812e-09 	-7.98588e-18
5.12 	-0.00222989 	0 		-1.71952e-09 	-5.42297e-18
5.14 	-0.00218574 	0 		-1.48637e-09 	-3.67522e-18
5.16 	-0.00214246 	0 		-1.28409e-09 	-2.48577e-18
5.18 	-0.00210003 	0 		-1.10872e-09 	-1.67791e-18
5.2 	-0.00205845 	0 		-9.56751e-10 	-1.13034e-18
5.22 	-0.00201769 	0 		-8.25145e-10 	-7.59942e-19
5.24 	-0.00197774 	0 		-7.11238e-10 	-5.09898e-19
5.26 	-0.00193858 	0 		-6.12706e-10 	-3.41442e-19
